{'nombres': 'Yenny', 'apellidos': 'Vallés', 'empresa': 25, 'role': 'Secretario', 'cedula': '1453314641', 'email': 'elenalopez@example.net', 'direccion': 'Calle 12 # 1P-2 Sur\nEtapa 3 apartamento 61\n254470\nGachetá, Cundinamarca', 'telefono': '0984290416', 'fecha_nacimiento': datetime.date(1988, 7, 29), 'estado_civil': 'Soltero', 'nivel_educacion': 'General Básica', 'password': '#o1H(IIrbO', 'password_validator': '#o1H(IIrbO'}
{'nombres': 'Nelly', 'apellidos': 'Urrutia', 'empresa': 18, 'role': 'Encargado', 'cedula': '0721416519', 'email': 'arincon@example.com', 'direccion': 'Calle 183 # 4-43 Este\nTorre 8 apartamento 670\n704901\nSan Benito Abad, Sucre', 'telefono': '0961726947', 'fecha_nacimiento': datetime.date(2004, 9, 26), 'estado_civil': 'Unión Libre', 'nivel_educacion': 'General Básica', 'password': 'Cf9Jjcyc!y', 'password_validator': 'Cf9Jjcyc!y'}
{'nombres': 'Leidy', 'apellidos': 'Campos', 'empresa': 3, 'role': 'Propietario', 'cedula': '2050883756', 'email': 'khoyos@example.net', 'direccion': 'Carrera 72 # 39O-96\nApto. 79\n234270\nSan José de Uré, Córdoba', 'telefono': '0989670465', 'fecha_nacimiento': datetime.date(1998, 7, 1), 'estado_civil': 'Unión Libre', 'nivel_educacion': 'General Básica', 'password': 'Mo9Cr@Oux!', 'password_validator': 'Mo9Cr@Oux!'}
{'nombres': 'Angélica', 'apellidos': 'Valenciano', 'empresa': 83, 'role': 'Secretario', 'cedula': '0345829709', 'email': 'diazedwin@example.com', 'direccion': 'Dg. 26 # 53-1 Sur\nOficina 74\n856181\nVillanueva, Casanare', 'telefono': '0997300573', 'fecha_nacimiento': datetime.date(1989, 8, 5), 'estado_civil': 'Viudo', 'nivel_educacion': 'Superior', 'password': '&q*(E4DhXa', 'password_validator': '&q*(E4DhXa'}
{'nombres': 'Mary', 'apellidos': 'Collado', 'empresa': 19, 'role': 'Administrador', 'cedula': '3005026228', 'email': 'denis48@example.com', 'direccion': 'Diagonal 78 Este # 50-3 Este\n527104\nColón, Nariño', 'telefono': '0960275230', 'fecha_nacimiento': datetime.date(1986, 1, 19), 'estado_civil': 'Casado', 'nivel_educacion': 'Bachillerato', 'password': '_59Sg3AACq', 'password_validator': '_59Sg3AACq'}
{'nombres': 'Carolina', 'apellidos': 'Lago', 'empresa': 93, 'role': 'Persona natural', 'cedula': '2060603616', 'email': 'qvasquez@example.com', 'direccion': 'Dg. 90 # 4J-95 Sur\n547721\nHacarí, Norte de Santander', 'telefono': '0994746814', 'fecha_nacimiento': datetime.date(2002, 5, 12), 'estado_civil': 'Soltero', 'nivel_educacion': 'Superior', 'password': 'PtSvKTL^(3', 'password_validator': 'PtSvKTL^(3'}
{'nombres': 'Sandra', 'apellidos': 'Pol', 'empresa': 35, 'role': 'Supervisor', 'cedula': '1809127994', 'email': 'dpedraza@example.net', 'direccion': 'Cr. 88 # 9L-38 Sur\n190133\nPopayán', 'telefono': '0998996614', 'fecha_nacimiento': datetime.date(1986, 5, 6), 'estado_civil': 'Divorciado', 'nivel_educacion': 'General Básica', 'password': '(HDU2PrfgV', 'password_validator': '(HDU2PrfgV'}
{'nombres': 'Carlos', 'apellidos': 'Carpio', 'empresa': 98, 'role': 'Supervisor', 'cedula': '0817220742', 'email': 'ines47@example.org', 'direccion': 'Av. Tesalia # 5-5 Este\nBodega 83\n053169\nGuarne, Antioquia', 'telefono': '0966312883', 'fecha_nacimiento': datetime.date(2001, 9, 19), 'estado_civil': 'Viudo', 'nivel_educacion': 'Superior', 'password': '@5A9AcpV+)', 'password_validator': '@5A9AcpV+)'}
{'nombres': 'Stiven', 'apellidos': 'Pascual', 'empresa': 55, 'role': 'Conductor-Propietario', 'cedula': '2114903699', 'email': 'hurtadodiego@example.net', 'direccion': 'Dg. 3ª # 95-5 Sur\nApto. 502\n250105\nAnolaima, Cundinamarca', 'telefono': '0982232347', 'fecha_nacimiento': datetime.date(1990, 4, 29), 'estado_civil': 'Soltero', 'nivel_educacion': 'General Básica', 'password': '@9sTjGgBqv', 'password_validator': '@9sTjGgBqv'}
{'nombres': 'José', 'apellidos': 'Prieto', 'empresa': 27, 'role': 'Propietario', 'cedula': '1239747767', 'email': 'javiergonzalez@example.net', 'direccion': 'Cl. 97 # 2-6 Sur\nOficina 299\n479381\nFundación, Magdalena', 'telefono': '0984375872', 'fecha_nacimiento': datetime.date(1997, 8, 30), 'estado_civil': 'Soltero', 'nivel_educacion': 'Superior', 'password': ')kq5$Eq4xE', 'password_validator': ')kq5$Eq4xE'}
{'nombres': 'Elsa', 'apellidos': 'Rosado', 'empresa': 92, 'role': 'Encargado', 'cedula': '2124948163', 'email': 'martinezadriana@example.net', 'direccion': 'Transversal 1U # 6-99\n683631\nContratación, Santander', 'telefono': '0988693826', 'fecha_nacimiento': datetime.date(1988, 12, 25), 'estado_civil': 'Unión Libre', 'nivel_educacion': 'Bachillerato', 'password': '35uHm^Mc*G', 'password_validator': '35uHm^Mc*G'}
